t,x,w
5/2/12 2:02,0,0
5/2/12 2:03,0,0
5/2/12 2:04,0,0
5/2/12 2:05,0,0
5/2/12 2:06,0,0
5/2/12 2:07,0,0
5/2/12 2:08,0,0
5/2/12 2:09,0,0
5/2/12 2:10,0,0
5/2/12 2:11,0,0
5/2/12 2:12,0,0
5/2/12 2:13,0,0
5/2/12 2:14,0,0
5/2/12 2:15,0,0
5/2/12 2:16,0,0
5/2/12 2:17,0,0
5/2/12 2:18,0,0
5/2/12 2:19,0,0
5/2/12 2:20,0,0
5/2/12 2:21,0,0
5/2/12 2:22,0,0
5/2/12 2:23,0,0
5/2/12 2:24,0,0
5/2/12 2:25,0,0
5/2/12 2:26,0,0
5/2/12 2:27,0,0
5/2/12 2:28,0,0
5/2/12 2:29,0,0
5/2/12 2:30,0,0
5/2/12 2:31,0,0
5/2/12 2:32,0,0
5/2/12 2:33,0,0
5/2/12 2:34,0,0
5/2/12 2:35,0,0
5/2/12 2:36,0,0
5/2/12 2:37,0,0
5/2/12 2:38,0,0
5/2/12 2:39,0,0
5/2/12 2:40,0,0
5/2/12 2:41,0,0
5/2/12 2:42,0,0
5/2/12 2:43,0,0
5/2/12 2:44,0,0
5/2/12 2:45,0,0
5/2/12 2:46,0,0
5/2/12 2:47,0,0
5/2/12 2:48,0,0
5/2/12 2:49,0,0
5/2/12 2:50,0,0
5/2/12 2:51,0,0
5/2/12 2:52,0,0
5/2/12 2:53,0,0
5/2/12 2:54,0,0
5/2/12 2:55,0,0
5/2/12 2:56,0,0
5/2/12 2:57,0,0
5/2/12 2:58,0,0
5/2/12 2:59,0,0
5/2/12 3:00,0,0
5/2/12 3:01,0,0
5/2/12 3:02,0,0
5/2/12 3:03,0,0
5/2/12 3:04,0,0
5/2/12 3:05,0,0
5/2/12 3:06,0,0
5/2/12 3:07,0,0
5/2/12 3:08,0,0
5/2/12 3:09,0,0
5/2/12 3:10,0,0
5/2/12 3:11,0,0
5/2/12 3:12,0,0
5/2/12 3:13,0,0
5/2/12 3:14,0,0
5/2/12 3:15,0,0
5/2/12 3:16,0,0
5/2/12 3:17,0,0
5/2/12 3:18,0,0
5/2/12 3:19,0,0
5/2/12 3:20,0,0
5/2/12 3:21,0,0
5/2/12 3:22,0,0
5/2/12 3:23,0,0
5/2/12 3:24,0,0
5/2/12 3:25,0,0
5/2/12 3:26,0,0
5/2/12 3:27,0,0
5/2/12 3:28,0,0
5/2/12 3:29,0,0
5/2/12 3:30,0,0
5/2/12 3:31,0,0
5/2/12 3:32,0,0
5/2/12 3:33,0,0
5/2/12 3:34,0,0
5/2/12 3:35,0,0
5/2/12 3:36,0,0
5/2/12 3:37,0,0
5/2/12 3:38,0,0
5/2/12 3:39,0,0
5/2/12 3:40,0,0
5/2/12 3:41,0,0
5/2/12 3:42,0,0
5/2/12 3:43,0,0
5/2/12 3:44,0,0
5/2/12 3:45,0,0
5/2/12 3:46,0,0
5/2/12 3:47,0,0
5/2/12 3:48,0,0
5/2/12 3:49,0,0
5/2/12 3:50,0,0
5/2/12 3:51,0,0
5/2/12 3:52,0,0
5/2/12 3:53,0,0
5/2/12 3:54,0,0
5/2/12 3:55,0,0
5/2/12 3:56,0,0
5/2/12 3:57,0,0
5/2/12 3:58,0,0
5/2/12 3:59,0,0
5/2/12 4:00,0,0
5/2/12 4:01,0,0
5/2/12 4:02,0,0
5/2/12 4:03,0,0
5/2/12 4:04,0,0
5/2/12 4:05,0,0
5/2/12 4:06,0,0
5/2/12 4:07,0,0
5/2/12 4:08,0,0
5/2/12 4:09,0,0
5/2/12 4:10,0,0
5/2/12 4:11,0,0
5/2/12 4:12,0,0
5/2/12 4:13,0,0
5/2/12 4:14,0,0
5/2/12 4:15,0,0
5/2/12 4:16,0,0
5/2/12 4:17,0,0
5/2/12 4:18,0,0
5/2/12 4:19,0,0
5/2/12 4:20,0,0
5/2/12 4:21,0,0
5/2/12 4:22,0,0
5/2/12 4:23,0,0
5/2/12 4:24,0,0
5/2/12 4:25,0,0
5/2/12 4:26,0,0
5/2/12 4:27,0,0
5/2/12 4:28,0,0
5/2/12 4:29,0,0
5/2/12 4:30,0,0
5/2/12 4:31,0,0
5/2/12 4:32,0,0
5/2/12 4:33,0,0
5/2/12 4:34,0,0
5/2/12 4:35,0,0
5/2/12 4:36,0,0
5/2/12 4:37,0,0
5/2/12 4:38,0,0
5/2/12 4:39,0,0
5/2/12 4:40,0,0
5/2/12 4:41,0,0
5/2/12 4:42,0,0
5/2/12 4:43,0,0
5/2/12 4:44,0,0
5/2/12 4:45,0,0
5/2/12 4:46,0,0
5/2/12 4:47,0,0
5/2/12 4:48,0,0
5/2/12 4:49,0,0
5/2/12 4:50,0,0
5/2/12 4:51,0,0
5/2/12 4:52,0,0
5/2/12 4:53,0,0
5/2/12 4:54,0,0
5/2/12 4:55,0,0
5/2/12 4:56,0,0
5/2/12 4:57,0,0
5/2/12 4:58,0,0
5/2/12 4:59,0,0
5/2/12 5:00,0,0
5/2/12 5:01,0,0
5/2/12 5:02,0,0
5/2/12 5:03,0,0
5/2/12 5:04,0,0
5/2/12 5:05,0,0
5/2/12 5:06,0,0
5/2/12 5:07,0,0
5/2/12 5:08,0,0
5/2/12 5:09,0,0
5/2/12 5:10,0,0
5/2/12 5:11,0,0
5/2/12 5:12,0,0
5/2/12 5:13,0,0
5/2/12 5:14,0,0
5/2/12 5:15,0,0
5/2/12 5:16,0,0
5/2/12 5:17,0,0
5/2/12 5:18,0,0
5/2/12 5:19,0,0
5/2/12 5:20,0,0
5/2/12 5:21,0,0
5/2/12 5:22,0,0
5/2/12 5:23,0,0
5/2/12 5:24,0,0
5/2/12 5:25,0,0
5/2/12 5:26,0,0
5/2/12 5:27,0,0
5/2/12 5:28,0,0
5/2/12 5:29,0,0
5/2/12 5:30,0,0
5/2/12 5:31,0,0
5/2/12 5:32,0,0
5/2/12 5:33,0,0
5/2/12 5:34,0,0
5/2/12 5:35,0,0
5/2/12 5:36,0,0
5/2/12 5:37,0,0
5/2/12 5:38,0,0
5/2/12 5:39,0,0
5/2/12 5:40,0,0
5/2/12 5:41,0,0
5/2/12 5:42,0,0
5/2/12 5:43,0,0
5/2/12 5:44,0,0
5/2/12 5:45,0,0
5/2/12 5:46,0,0
5/2/12 5:47,0,0
5/2/12 5:48,0,0
5/2/12 5:49,0,0
5/2/12 5:50,0,0
5/2/12 5:51,0,0
5/2/12 5:52,0,0
5/2/12 5:53,0,0
5/2/12 5:54,0,0
5/2/12 5:55,0,0
5/2/12 5:56,0,0
5/2/12 5:57,0,0
5/2/12 5:58,0,0
5/2/12 5:59,0,0
5/2/12 6:00,0,0
5/2/12 6:01,0,0
5/2/12 6:02,0,0
5/2/12 6:03,0,0
5/2/12 6:04,0,0
5/2/12 6:05,0,0
5/2/12 6:06,0,0
5/2/12 6:07,0,0
5/2/12 6:08,0,0
5/2/12 6:09,0,0
5/2/12 6:10,0,0
5/2/12 6:11,0,0
5/2/12 6:12,0,0
5/2/12 6:13,0,0
5/2/12 6:14,0,0
5/2/12 6:15,0,0
5/2/12 6:16,0,0
5/2/12 6:17,0,0
5/2/12 6:18,0,0
5/2/12 6:19,0,0
5/2/12 6:20,0,0
5/2/12 6:21,0,0
5/2/12 6:22,0,0
5/2/12 6:23,0,0
5/2/12 6:24,0,0
5/2/12 6:25,0,0
5/2/12 6:26,0,0
5/2/12 6:27,0,0
5/2/12 6:28,0,0
5/2/12 6:29,0,0
5/2/12 6:30,0,0
5/2/12 6:31,0,0
5/2/12 6:32,0,0
5/2/12 6:33,0,0
5/2/12 6:34,0,0
5/2/12 6:35,0,0
5/2/12 6:36,0,0
5/2/12 6:37,0,0
5/2/12 6:38,0,0
5/2/12 6:39,0,0
5/2/12 6:40,0,0
5/2/12 6:41,0,0
5/2/12 6:42,0,0
5/2/12 6:43,0,0
5/2/12 6:44,0,0
5/2/12 6:45,0,0
5/2/12 6:46,0,0
5/2/12 6:47,0,0
5/2/12 6:48,0,0
5/2/12 6:49,0,0
5/2/12 6:50,0,0
5/2/12 6:51,0,0
5/2/12 6:52,0,0
5/2/12 6:53,0,0
5/2/12 6:54,0,0
5/2/12 6:55,0,0
5/2/12 6:56,0,0
5/2/12 6:57,0,0
5/2/12 6:58,0,0
5/2/12 6:59,0,0
5/2/12 7:00,0,0
5/2/12 7:01,0,0
5/2/12 7:02,0,0
5/2/12 7:03,0,0
5/2/12 7:04,0,0
5/2/12 7:05,0,0
5/2/12 7:06,0,0
5/2/12 7:07,0,0
5/2/12 7:08,0,0
5/2/12 7:09,0,0
5/2/12 7:10,0,0
5/2/12 7:11,0,0
5/2/12 7:12,0,0
5/2/12 7:13,0,0
5/2/12 7:14,0,0
5/2/12 7:15,0,0
5/2/12 7:16,0,0
5/2/12 7:17,0,0
5/2/12 7:18,0,0
5/2/12 7:19,0,0
5/2/12 7:20,0,0
5/2/12 7:21,0,0
5/2/12 7:22,72,1
5/2/12 7:23,10,1
5/2/12 7:24,75,1
5/2/12 7:25,216,1
5/2/12 7:26,72,1
5/2/12 7:27,0,1
5/2/12 7:28,0,1
5/2/12 7:29,76,1
5/2/12 7:30,105,1
5/2/12 7:31,164,1
5/2/12 7:32,0,1
5/2/12 7:33,0,1
5/2/12 7:34,227,1
5/2/12 7:35,239,1
5/2/12 7:36,118,1
5/2/12 7:37,282,1
5/2/12 7:38,186,1
5/2/12 7:39,136,1
5/2/12 7:40,113,1
5/2/12 7:41,24,1
5/2/12 7:42,55,1
5/2/12 7:43,130,1
5/2/12 7:44,193,1
5/2/12 7:45,254,1
5/2/12 7:46,14,1
5/2/12 7:47,4,1
5/2/12 7:48,1,1
5/2/12 7:49,47,1
5/2/12 7:50,0,1
5/2/12 7:51,249,1
5/2/12 7:52,5,1
5/2/12 7:53,5,1
5/2/12 7:54,12,1
5/2/12 7:55,6,1
5/2/12 7:56,25,1
5/2/12 7:57,11,1
5/2/12 7:58,172,1
5/2/12 7:59,33,1
5/2/12 8:00,24,1
5/2/12 8:01,8,1
5/2/12 8:02,79,1
5/2/12 8:03,47,1
5/2/12 8:04,10,1
5/2/12 8:05,105,1
5/2/12 8:06,34,1
5/2/12 8:07,266,1
5/2/12 8:08,51,1
5/2/12 8:09,396,1
5/2/12 8:10,7,1
5/2/12 8:11,89,1
5/2/12 8:12,12,1
5/2/12 8:13,93,1
5/2/12 8:14,61,1
5/2/12 8:15,79,1
5/2/12 8:16,33,1
5/2/12 8:17,141,1
5/2/12 8:18,57,1
5/2/12 8:19,34,1
5/2/12 8:20,45,1
5/2/12 8:21,81,1
5/2/12 8:22,100,1
5/2/12 8:23,84,1
5/2/12 8:24,9,1
5/2/12 8:25,24,1
5/2/12 8:26,10,1
5/2/12 8:27,6,1
5/2/12 8:28,7,1
5/2/12 8:29,0,1
5/2/12 8:30,0,1
5/2/12 8:31,182,1
5/2/12 8:32,34,1
5/2/12 8:33,118,1
5/2/12 8:34,181,1
5/2/12 8:35,91,1
5/2/12 8:36,239,1
5/2/12 8:37,95,1
5/2/12 8:38,233,1
5/2/12 8:39,55,1
5/2/12 8:40,94,1
5/2/12 8:41,15,1
5/2/12 8:42,11,1
5/2/12 8:43,4,1
5/2/12 8:44,8,1
5/2/12 8:45,193,1
5/2/12 8:46,42,1
5/2/12 8:47,121,1
5/2/12 8:48,9,1
5/2/12 8:49,5,1
5/2/12 8:50,0,1
5/2/12 8:51,0,1
5/2/12 8:52,0,1
5/2/12 8:53,0,1
5/2/12 8:54,4,1
5/2/12 8:55,0,1
5/2/12 8:56,264,1
5/2/12 8:57,185,1
5/2/12 8:58,28,1
5/2/12 8:59,293,1
5/2/12 9:00,143,1
5/2/12 9:01,81,1
5/2/12 9:02,50,1
5/2/12 9:03,67,1
5/2/12 9:04,13,1
5/2/12 9:05,215,1
5/2/12 9:06,145,1
5/2/12 9:07,518,1
5/2/12 9:08,559,1
5/2/12 9:09,604,1
5/2/12 9:10,2215,1
5/2/12 9:11,1856,1
5/2/12 9:12,1816,1
5/2/12 9:13,839,1
5/2/12 9:14,1889,1
5/2/12 9:15,1766,1
5/2/12 9:16,1861,1
5/2/12 9:17,1863,1
5/2/12 9:18,1786,1
5/2/12 9:19,1940,1
5/2/12 9:20,287,1
5/2/12 9:21,1061,1
5/2/12 9:22,1804,1
5/2/12 9:23,1818,1
5/2/12 9:24,1578,1
5/2/12 9:25,1329,1
5/2/12 9:26,1062,1
5/2/12 9:27,86,1
5/2/12 9:28,23,1
5/2/12 9:29,274,1
5/2/12 9:30,284,1
5/2/12 9:31,263,1
5/2/12 9:32,36,1
5/2/12 9:33,61,1
5/2/12 9:34,443,1
5/2/12 9:35,383,1
5/2/12 9:36,4,1
5/2/12 9:37,1392,1
5/2/12 9:38,1752,1
5/2/12 9:39,1789,1
5/2/12 9:40,1577,1
5/2/12 9:41,710,1
5/2/12 9:42,527,1
5/2/12 9:43,711,1
5/2/12 9:44,161,1
5/2/12 9:45,686,1
5/2/12 9:46,12,1
5/2/12 9:47,10,1
5/2/12 9:48,15,1
5/2/12 9:49,585,1
5/2/12 9:50,97,1
5/2/12 9:51,15,1
5/2/12 9:52,317,1
5/2/12 9:53,118,1
5/2/12 9:54,442,1
5/2/12 9:55,2326,1
5/2/12 9:56,2139,1
5/2/12 9:57,2081,1
5/2/12 9:58,1640,1
5/2/12 9:59,1635,1
5/2/12 10:00,1602,1
5/2/12 10:01,1871,1
5/2/12 10:02,1463,1
5/2/12 10:03,508,1
5/2/12 10:04,377,1
5/2/12 10:05,115,1
5/2/12 10:06,2,1
5/2/12 10:07,78,1
5/2/12 10:08,113,1
5/2/12 10:09,10,1
5/2/12 10:10,40,1
5/2/12 10:11,30,1
5/2/12 10:12,0,1
5/2/12 10:13,152,1
5/2/12 10:14,215,1
5/2/12 10:15,0,1
5/2/12 10:16,85,1
5/2/12 10:17,867,1
5/2/12 10:18,204,1
5/2/12 10:19,0,1
5/2/12 10:20,529,1
5/2/12 10:21,163,1
5/2/12 10:22,55,1
5/2/12 10:23,50,1
5/2/12 10:24,77,1
5/2/12 10:25,152,1
5/2/12 10:26,0,1
5/2/12 10:27,0,1
5/2/12 10:28,37,1
5/2/12 10:29,168,1
5/2/12 10:30,60,1
5/2/12 10:31,12,1
5/2/12 10:32,4,1
5/2/12 10:33,10,1
5/2/12 10:34,25,1
5/2/12 10:35,26,1
5/2/12 10:36,22,1
5/2/12 10:37,21,1
5/2/12 10:38,22,1
5/2/12 10:39,22,1
5/2/12 10:40,194,1
5/2/12 10:41,25,1
5/2/12 10:42,326,1
5/2/12 10:43,315,1
5/2/12 10:44,0,1
5/2/12 10:45,3,1
5/2/12 10:46,4,1
5/2/12 10:47,0,1
5/2/12 10:48,0,1
5/2/12 10:49,0,1
5/2/12 10:50,0,1
5/2/12 10:51,0,1
5/2/12 10:52,0,1
5/2/12 10:53,0,1
5/2/12 10:54,0,1
5/2/12 10:55,0,1
5/2/12 10:56,0,1
5/2/12 10:57,0,1
5/2/12 10:58,0,1
5/2/12 10:59,0,1
5/2/12 11:00,0,1
5/2/12 11:01,0,1
5/2/12 11:02,0,1
5/2/12 11:03,0,1
5/2/12 11:04,0,1
5/2/12 11:05,0,1
5/2/12 11:06,0,1
5/2/12 11:07,0,1
5/2/12 11:08,0,1
5/2/12 11:09,0,1
5/2/12 11:10,0,1
5/2/12 11:11,0,1
5/2/12 11:12,135,1
5/2/12 11:13,194,1
5/2/12 11:14,0,1
5/2/12 11:15,0,1
5/2/12 11:16,0,1
5/2/12 11:17,0,1
5/2/12 11:18,0,1
5/2/12 11:19,0,1
5/2/12 11:20,0,1
5/2/12 11:21,17,1
5/2/12 11:22,0,1
5/2/12 11:23,0,1
5/2/12 11:24,5,1
5/2/12 11:25,3,1
5/2/12 11:26,0,1
5/2/12 11:27,0,1
5/2/12 11:28,3,1
5/2/12 11:29,0,1
5/2/12 11:30,0,1
5/2/12 11:31,0,1
5/2/12 11:32,4,1
5/2/12 11:33,13,1
5/2/12 11:34,2,1
5/2/12 11:35,8,1
5/2/12 11:36,30,1
5/2/12 11:37,0,1
5/2/12 11:38,14,1
5/2/12 11:39,0,1
5/2/12 11:40,2,1
5/2/12 11:41,102,1
5/2/12 11:42,21,1
5/2/12 11:43,19,1
5/2/12 11:44,40,1
5/2/12 11:45,0,1
5/2/12 11:46,0,1
5/2/12 11:47,0,1
5/2/12 11:48,0,1
5/2/12 11:49,0,1
5/2/12 11:50,277,1
5/2/12 11:51,0,1
5/2/12 11:52,3,1
5/2/12 11:53,86,1
5/2/12 11:54,0,1
5/2/12 11:55,0,1
5/2/12 11:56,214,1
5/2/12 11:57,363,1
5/2/12 11:58,51,1
5/2/12 11:59,0,1
5/2/12 12:00,0,1
5/2/12 12:01,0,1
5/2/12 12:02,0,1
5/2/12 12:03,2,1
5/2/12 12:04,0,1
5/2/12 12:05,19,1
5/2/12 12:06,25,1
5/2/12 12:07,11,1
5/2/12 12:08,0,1
5/2/12 12:09,0,1
5/2/12 12:10,6,1
5/2/12 12:11,0,1
5/2/12 12:12,26,1
5/2/12 12:13,0,1
5/2/12 12:14,0,1
5/2/12 12:15,65,1
5/2/12 12:16,0,1
5/2/12 12:17,0,1
5/2/12 12:18,42,1
5/2/12 12:19,0,1
5/2/12 12:20,0,1
5/2/12 12:21,0,1
5/2/12 12:22,37,1
5/2/12 12:23,0,1
5/2/12 12:24,0,1
5/2/12 12:25,0,1
5/2/12 12:26,0,1
5/2/12 12:27,0,1
5/2/12 12:28,28,1
5/2/12 12:29,0,1
5/2/12 12:30,4,1
5/2/12 12:31,0,1
5/2/12 12:32,0,1
5/2/12 12:33,0,1
5/2/12 12:34,0,1
5/2/12 12:35,0,1
5/2/12 12:36,0,1
5/2/12 12:37,0,1
5/2/12 12:38,0,1
5/2/12 12:39,0,1
5/2/12 12:40,0,1
5/2/12 12:41,0,1
5/2/12 12:42,0,1
5/2/12 12:43,0,1
5/2/12 12:44,0,1
5/2/12 12:45,0,1
5/2/12 12:46,0,1
5/2/12 12:47,0,1
5/2/12 12:48,0,1
5/2/12 12:49,32,1
5/2/12 12:50,0,1
5/2/12 12:51,0,1
5/2/12 12:52,0,1
5/2/12 12:53,0,1
5/2/12 12:54,0,1
5/2/12 12:55,0,1
5/2/12 12:56,23,1
5/2/12 12:57,0,1
5/2/12 12:58,0,1
5/2/12 12:59,0,1
5/2/12 13:00,0,1
5/2/12 13:01,18,1
5/2/12 13:02,0,1
5/2/12 13:03,0,1
5/2/12 13:04,32,1
5/2/12 13:05,0,1
5/2/12 13:06,0,1
5/2/12 13:07,0,1
5/2/12 13:08,0,1
5/2/12 13:09,23,1
5/2/12 13:10,1,1
5/2/12 13:11,3,1
5/2/12 13:12,0,1
5/2/12 13:13,0,1
5/2/12 13:14,0,1
5/2/12 13:15,0,1
5/2/12 13:16,0,1
5/2/12 13:17,0,1
5/2/12 13:18,11,1
5/2/12 13:19,0,1
5/2/12 13:20,0,1
5/2/12 13:21,0,1
5/2/12 13:22,0,1
5/2/12 13:23,0,1
5/2/12 13:24,0,1
5/2/12 13:25,0,1
5/2/12 13:26,0,1
5/2/12 13:27,12,1
5/2/12 13:28,23,1
5/2/12 13:29,20,1
5/2/12 13:30,3,1
5/2/12 13:31,47,1
5/2/12 13:32,87,1
5/2/12 13:33,82,1
5/2/12 13:34,104,1
5/2/12 13:35,2,1
5/2/12 13:36,22,1
5/2/12 13:37,43,1
5/2/12 13:38,129,1
5/2/12 13:39,27,1
5/2/12 13:40,170,1
5/2/12 13:41,758,1
5/2/12 13:42,129,1
5/2/12 13:43,751,1
5/2/12 13:44,252,1
5/2/12 13:45,40,1
5/2/12 13:46,19,1
5/2/12 13:47,28,1
5/2/12 13:48,55,1
5/2/12 13:49,74,1
5/2/12 13:50,42,1
5/2/12 13:51,1,1
5/2/12 13:52,9,1
5/2/12 13:53,3,1
5/2/12 13:54,14,1
5/2/12 13:55,75,1
5/2/12 13:56,114,1
5/2/12 13:57,66,1
5/2/12 13:58,69,1
5/2/12 13:59,102,1
5/2/12 14:00,87,1
5/2/12 14:01,96,1
5/2/12 14:02,293,1
5/2/12 14:03,60,1
5/2/12 14:04,0,1
5/2/12 14:05,0,1
5/2/12 14:06,3,1
5/2/12 14:07,3,1
5/2/12 14:08,1,1
5/2/12 14:09,3,1
5/2/12 14:10,4,1
5/2/12 14:11,1,1
5/2/12 14:12,170,1
5/2/12 14:13,315,1
5/2/12 14:14,2,1
5/2/12 14:15,0,1
5/2/12 14:16,68,1
5/2/12 14:17,77,1
5/2/12 14:18,36,1
5/2/12 14:19,9,1
5/2/12 14:20,82,1
5/2/12 14:21,4,1
5/2/12 14:22,7,1
5/2/12 14:23,11,1
5/2/12 14:24,1,1
5/2/12 14:25,0,1
5/2/12 14:26,0,1
5/2/12 14:27,2,1
5/2/12 14:28,2,1
5/2/12 14:29,5,1
5/2/12 14:30,0,1
5/2/12 14:31,29,1
5/2/12 14:32,0,1
5/2/12 14:33,0,1
5/2/12 14:34,88,1
5/2/12 14:35,52,1
5/2/12 14:36,60,1
5/2/12 14:37,27,1
5/2/12 14:38,157,1
5/2/12 14:39,91,1
5/2/12 14:40,143,1
5/2/12 14:41,98,1
5/2/12 14:42,129,1
5/2/12 14:43,1,1
5/2/12 14:44,0,1
5/2/12 14:45,0,1
5/2/12 14:46,0,1
5/2/12 14:47,0,1
5/2/12 14:48,0,1
5/2/12 14:49,0,1
5/2/12 14:50,0,1
5/2/12 14:51,3,1
5/2/12 14:52,0,1
5/2/12 14:53,0,1
5/2/12 14:54,80,1
5/2/12 14:55,414,1
5/2/12 14:56,861,1
5/2/12 14:57,53,1
5/2/12 14:58,72,1
5/2/12 14:59,598,1
5/2/12 15:00,71,1
5/2/12 15:01,53,1
5/2/12 15:02,10,1
5/2/12 15:03,0,1
5/2/12 15:04,0,1
5/2/12 15:05,9,1
5/2/12 15:06,0,1
5/2/12 15:07,88,1
5/2/12 15:08,213,1
5/2/12 15:09,14,1
5/2/12 15:10,138,1
5/2/12 15:11,5,1
5/2/12 15:12,30,1
5/2/12 15:13,73,1
5/2/12 15:14,10,1
5/2/12 15:15,0,1
5/2/12 15:16,0,1
5/2/12 15:17,0,1
5/2/12 15:18,0,1
5/2/12 15:19,217,1
5/2/12 15:20,627,1
5/2/12 15:21,63,1
5/2/12 15:22,835,1
5/2/12 15:23,37,1
5/2/12 15:24,0,1
5/2/12 15:25,1,1
5/2/12 15:26,4,1
5/2/12 15:27,76,1
5/2/12 15:28,52,1
5/2/12 15:29,95,1
5/2/12 15:30,0,1
5/2/12 15:31,0,1
5/2/12 15:32,1,1
5/2/12 15:33,0,1
5/2/12 15:34,0,1
5/2/12 15:35,44,1
5/2/12 15:36,0,1
5/2/12 15:37,2,1
5/2/12 15:38,77,1
5/2/12 15:39,9,1
5/2/12 15:40,0,1
5/2/12 15:41,0,1
5/2/12 15:42,38,1
5/2/12 15:43,4,1
5/2/12 15:44,0,1
5/2/12 15:45,4,1
5/2/12 15:46,347,1
5/2/12 15:47,7,1
5/2/12 15:48,0,1
5/2/12 15:49,0,1
5/2/12 15:50,1,1
5/2/12 15:51,27,1
5/2/12 15:52,13,1
5/2/12 15:53,0,1
5/2/12 15:54,0,1
5/2/12 15:55,0,1
5/2/12 15:56,0,1
5/2/12 15:57,0,1
5/2/12 15:58,79,1
5/2/12 15:59,114,1
5/2/12 16:00,47,1
5/2/12 16:01,0,1
5/2/12 16:02,0,1
5/2/12 16:03,4,1
5/2/12 16:04,0,1
5/2/12 16:05,0,1
5/2/12 16:06,108,1
5/2/12 16:07,169,1
5/2/12 16:08,92,1
5/2/12 16:09,67,1
5/2/12 16:10,20,1
5/2/12 16:11,349,1
5/2/12 16:12,5,1
5/2/12 16:13,6,1
5/2/12 16:14,227,1
5/2/12 16:15,265,1
5/2/12 16:16,0,1
5/2/12 16:17,332,1
5/2/12 16:18,268,1
5/2/12 16:19,0,1
5/2/12 16:20,0,1
5/2/12 16:21,4,1
5/2/12 16:22,182,1
5/2/12 16:23,210,1
5/2/12 16:24,3,1
5/2/12 16:25,3,1
5/2/12 16:26,0,1
5/2/12 16:27,0,1
5/2/12 16:28,0,1
5/2/12 16:29,0,1
5/2/12 16:30,8,1
5/2/12 16:31,6,1
5/2/12 16:32,78,1
5/2/12 16:33,22,1
5/2/12 16:34,3,1
5/2/12 16:35,0,1
5/2/12 16:36,0,1
5/2/12 16:37,1,1
5/2/12 16:38,2,1
5/2/12 16:39,0,1
5/2/12 16:40,5,1
5/2/12 16:41,0,1
5/2/12 16:42,0,1
5/2/12 16:43,1,1
5/2/12 16:44,0,1
5/2/12 16:45,0,1
